*	vault	3
*	vm02	3
*	vm1	3
*	vm2	3
*	web-01	3
*	web06	3
*	web07	3
*	web08	3
*	web6	3
*	wp1	3
*	wp2	3
*	www1	3
*	www2	3
*	x	3
*	yuno	3
*	zbc	3
*	161	2
*	2	2
*	3	2
*	4	2
*	6	2
*	aanhangwagenlenen	2
*	aanmelden	2
*	aanvragen	2
*	academie	2
*	acc3	2
*	acc4	2
*	acc5	2
*	acc6	2
*	accept02	2
*	acceptatie1	2
*	actie	2
*	ad	2
*	adb	2
*	addesign	2
*	afbeeldingen	2
*	afval	2
*	aks	2
*	alatron	2
*	ales	2
*	alexander	2
*	allchin	2
*	alliander	2
*	almach	2
*	amsterdam	2
*	amur	2
*	andersen	2
*	annie	2
*	anteros	2
*	app-staging	2
*	arash	2
*	arbenz	2
*	archief	2
*	argus	2
*	ascot	2
*	assets	2
*	astresse	2
*	at19	2
*	at36	2
*	at40	2
*	audit	2
*	avl-p	2
*	awesomnia	2
*	balancing	2
*	bamboo	2
*	bas	2
*	base	2
*	basis	2
*	baughan	2
*	bd	2
*	bergeon	2
*	bestel	2
*	bg	2
*	blog	2
*	blogs	2
*	bnl	2
*	box	2
*	bramwell	2
*	brandweer	2
*	bravo	2
*	breeman	2
*	bremer	2
*	bridge	2
*	buckeye	2
*	burnham	2
*	c1	2
*	c3	2
*	c4	2
*	cake	2
*	campus	2
*	canada	2
*	canonacceptatie	2
*	caprover	2
*	carbon	2
*	careers	2
*	carsjeans	2
*	catchall	2
*	catherina	2
*	cd	2
*	certina	2
*	cfp	2
*	ci	2
*	clientcerts	2
*	cloudev	2
*	club	2
*	cluster03	2
*	cmsdev	2
*	coder	2
*	com	2
*	commer	2
*	commerce	2
*	config	2
*	cooper-project	2
*	covic	2
*	cp02	2
*	cp03	2
*	cp04	2
*	cp05	2
*	cp06	2
*	cp07	2
*	cp08	2
*	cp09	2
*	cp10	2
*	cp11	2
*	cpanel	2
*	cph	2
*	ct	2
*	cust	2
*	customer	2
*	dalfsen	2
*	datastore	2
*	deb01	2
*	ded052	2
*	defrance	2
*	demo2	2
*	denhaag	2
*	design	2
*	desoto	2
*	despruit	2
*	deus	2
*	dev-reseller	2
*	dev24	2
*	dev6	2
*	dev7	2
*	dev9	2
*	devastator	2
*	dh	2
*	dickerdack	2
*	dielema	2
*	digiscout	2
*	dji	2
*	dmr	2
*	dnb	2
*	documents	2
*	doddel	2
*	dokku1	2
*	dokku2	2
*	domainkey_	2
*	dow	2
*	downloads	2
*	duckstad	2
*	duckstad-backup	2
*	duo	2
*	dvorak	2
*	eindhoven	2
*	elo	2
*	ena	2
*	endeavour	2
*	endfed	2
*	enexis	2
*	enschede	2
*	event	2
*	excelsior20	2
*	exchange	2
*	extern	2
*	externals	2
*	externals2	2
*	fallback	2
*	feedback	2
*	feedm	2
*	fica	2
*	films	2
*	forge	2
*	fortiems	2
*	fotos	2
*	foxtrot	2
*	fr	2
*	frontend	2
*	geo	2
*	ggn	2
*	go	2
*	golf	2
*	haiptest	2
*	harry	2
*	helpdesk	2
*	hetzner	2
*	hi	2
*	hl	2
*	hmc	2
*	homelab	2
*	hop	2
*	hosting1	2
*	hosting10	2
*	hosting12	2
*	hosting16	2
*	hosting22	2
*	hosting23	2
*	hosting4	2
*	hosting7	2
*	hosting8	2
*	hosting9	2
*	hosts	2
*	hp	2
*	hugo	2
